,api,api.1,api.1.1,api.1.1.1,api.1.1.1.1,api.1.1.1.1.1,api
72,'RemoveDirectoryW','RemoveDirectoryW',,'RemoveDirectoryW','RemoveDirectoryW','RemoveDirectoryW','RemoveDirectoryW'
73,'GetTempPathW','GetTempPathW',,'GetTempPathW','GetTempPathW','GetTempPathW','GetTempPathW'
74,'FormatMessageW','FormatMessageW',,'FormatMessageW','FormatMessageW','FormatMessageW','FormatMessageW'
75,'LockResource','LockResource',,'LockResource','LockResource','LockResource','LockResource'
76,'DeleteFileW','DeleteFileW',,'DeleteFileW','DeleteFileW','DeleteFileW','DeleteFileW'
77,'FindResourceExW','FindResourceExW',,'FindResourceExW','FindResourceExW','FindResourceExW','FindResourceExW'
78,'LoadResource','LoadResource',,'LoadResource','LoadResource','LoadResource','LoadResource'
79,'FindResourceW','FindResourceW',,'FindResourceW','FindResourceW','FindResourceW','FindResourceW'
80,'HeapDestroy','HeapDestroy',,'HeapDestroy','HeapDestroy','HeapDestroy','HeapDestroy'
81,'LocalFree','LocalFree',,'LocalFree','LocalFree','LocalFree','LocalFree'
82,'VerSetConditionMask','VerSetConditionMask',,'VerSetConditionMask','VerSetConditionMask','VerSetConditionMask','VerSetConditionMask'
83,'CopyFileW','CopyFileW',,'CopyFileW','CopyFileW','CopyFileW','CopyFileW'
84,'VerifyVersionInfoW','VerifyVersionInfoW',,'VerifyVersionInfoW','VerifyVersionInfoW','VerifyVersionInfoW','VerifyVersionInfoW'
85,'GetTempFileNameW','GetTempFileNameW',,'GetTempFileNameW','GetTempFileNameW','GetTempFileNameW','GetTempFileNameW'
86,'lstrcmpiW','lstrcmpiW',,'lstrcmpiW','lstrcmpiW','lstrcmpiW','lstrcmpiW'
87,'UnmapViewOfFile','UnmapViewOfFile',,'UnmapViewOfFile','UnmapViewOfFile','UnmapViewOfFile','UnmapViewOfFile'
88,'CreateFileMappingW','CreateFileMappingW',,'CreateFileMappingW','CreateFileMappingW','CreateFileMappingW','CreateFileMappingW'
89,'MapViewOfFile','MapViewOfFile',,'MapViewOfFile','MapViewOfFile','MapViewOfFile','MapViewOfFile'
90,'VirtualQuery','VirtualQuery',,'VirtualQuery','VirtualQuery','VirtualQuery','VirtualQuery'
91,'ReadFile','ReadFile',,'ReadFile','ReadFile','ReadFile','ReadFile'
92,'SHLWAPI.dll','SHLWAPI.dll',,'SHLWAPI.dll','SHLWAPI.dll','SHLWAPI.dll','SHLWAPI.dll'
93,'PathQuoteSpacesW','PathQuoteSpacesW',,'PathQuoteSpacesW','PathQuoteSpacesW','PathQuoteSpacesW','PathQuoteSpacesW'
94,'PathAppendW','PathAppendW',,'PathAppendW','PathAppendW','PathAppendW','PathAppendW'
95,'ole32.dll','ole32.dll',,'ole32.dll','ole32.dll','ole32.dll','ole32.dll'
96,'CoUninitialize','CoUninitialize',,'CoUninitialize','CoUninitialize','CoUninitialize','CoUninitialize'
97,'CoInitializeEx','CoInitializeEx',,'CoInitializeEx','CoInitializeEx','CoInitializeEx','CoInitializeEx'
98,'SHELL32.dll','SHELL32.dll',,'SHELL32.dll','SHELL32.dll','SHELL32.dll','SHELL32.dll'
99,'SHGetFolderPathW','SHGetFolderPathW',,'SHGetFolderPathW','SHGetFolderPathW','SHGetFolderPathW','SHGetFolderPathW'
100,'ne,'ne,,'ne,'ne,'ne,'ne
101,'USER32.dll','USER32.dll',,'USER32.dll','USER32.dll','USER32.dll','USER32.dll'
102,'MessageBoxW','MessageBoxW',,'MessageBoxW','MessageBoxW','MessageBoxW','MessageBoxW'
103,'CharLowerBuffW','CharLowerBuffW',,'CharLowerBuffW','CharLowerBuffW','CharLowerBuffW','CharLowerBuffW'
